,넘버 제목,배우,앨범,가사,정제
290,엄마 일어나요 (Feat. 모리슨호텔) (원맨쇼 OST),박진규,엄마 일어나요 (원맨쇼 OST),"치수 자신 있어
뭘 물어봐요
아이 자신 없는 거 같은데
아이 아대는 차고 왔어요
자 자 집중하자
공 잡으면 뭐부터 해야 돼
상대방 그리고
우리 편 위치를 확인하고
그렇지 그다음엔
패스
그렇지 너무 떨지 말고
왼손은 거들 뿐 알지
자 하나 둘
천만 원
아이
독고다이 나를 표현하는 단어
모두가 내게 말해 너 왜 혼자 다녀
실력만큼은 니들보다 나어
나보다 못하는 놈 다 필요 없어
후회는 좀 많아 겁쟁인 아니야
하지만 언제부터 겁쟁이래 모두가
나를 비웃고 수군 수군대
그저 생각이 다른 것뿐이지 모두가
한때 나도 잘 나갔지
코트 위에선 미쳤지
음 나의 노력과 놀라운 실력
이건 마치 마이클의 결정력
주형 치수 성민이가 만나
시작된 패배자들의 미스매치
모자라고 어설퍼도 지어보자 단판
너희가 있으니 간다
슛을 던져 실패해도
상관없어 못 넣어도
실패해도 괜찮아 이젠 oh
리바운드 잡고서
넘어져도 괜찮아
내 손을 잡아 한 번 더
주윌 봐도 나는 항상 혼자
팀 없어 친구 없어
그동안 농구도 혼자
했지만 이젠 아니야 눈만 봐도 아니까
삶의 밑바닥 찍고 왔지
실패와 패배 나를 뜻했지
나는 다시 해볼게 성공과 재기
올라가서 마실래 달콤한 공기
기복이 없어 왜 기복이 없지 왜
뛰어본 적 없으니 아무도 모르지
마신 적 없어 승리의 윗 공기
이제는 마셔볼까 우리
주형 치수 성민이가 만나
시작된 패배자들의 미스매치
모자라고 어설퍼도 지어보자 단판
너희가 있으니 간다
슛을 던져 실패해도
상관없어 못 넣어도
실패해도 괜찮아 이젠 oh
리바운드 잡고서
넘어져도 괜찮아
내 손을 잡아 한 번 더
슛을 던져 실패해도
상관없어 못 넣어도
실패해도 괜찮아 이젠 oh
리바운드 잡고서
넘어져도 괜찮아
내 손을 잡아 한 번 더","['치수', '물어보', '아요', '은데', '차고', '어요', '집중', '으면', '어야', '상대방', '위치', '확인', '그렇', '그다음', '패스', '그렇', '너무', 'ㄹ지', '왼손', '거들', 'ㄹ지', '천만', '다이', '나르', '표현', '단어', '말하', '다니', '실력', '니들', '보다', '보다', '필요', '후회', '비웃', '수군', '수군대', '생각', '다르', '한때', '나도', '나가', '코트', '미치', '나의', '노력', '놀랍', '실력', '마이클', '결정력', '주형', '치수', '시작', '패배자', '미스', '매치', '모자라', '어설프', '어도', '단판', '으니', 'ㄴ다', '던지', '실패', '어도', '상관없', '어도', '실패', '어도', '괜찮', 'oh', '리바운드', '고서', '넘어지', '어도', '괜찮', '아도', '항상', '친구', '그동안', '농구', '아도', '니까', '밑바닥', '실패', '패배', '뜻하', '다시', '해보', '성공', '재기', '올라가', '마시', 'ㄹ래', '달콤', '공기', '기복', '기복', '으니', '아무', '모르', '마시', '승리', '공기', '이제', '마시', 'ㄹ까', '주형', '치수', '시작', '패배자', '미스', '매치', '모자라', '어설프', '어도', '단판', '으니', 'ㄴ다', '던지', '실패', '어도', '상관없', '어도', '실패', '어도', '괜찮', 'oh', '리바운드', '고서', '넘어지', '어도', '괜찮', '던지', '실패', '어도', '상관없', '어도', '실패', '어도', '괜찮', 'oh', '리바운드', '고서', '넘어지', '어도', '괜찮']"
291,태양이 지면 널 만나러 갈게,영재 (Youngjae),태양의 노래 Part.1,"하늘엔 가마귀가
가옥 가옥 날아들고
사방엔 연기가 모락 모락
시체들이 타는지 화약이 타는지
한바탕 전쟁이 일어난 폐허엔
바람 소리도 울음 같고
새소리 조차 서럽구나
빼앗긴 들에도
봄이 온다 하였는가
겨우내 얼었던 세상이
봄을 맞아 녹아드니
땅에 묻힌 수백명 군사가 못다
흘린 울음인듯
시뻘건 피가 베어 나오고
시원히 흐르던 계곡엔 어느세
마른 나뭇가지만 즐비허네
기나긴 전쟁이 지긋지긋 하였는가
끝없는 사람의 욕심이
꼴도보기 싫었는가
산천 초목을 수놓던 새들도 오간데
없이 뵈이질 않고
처연한 울음 소리만
허공에 흩날리네
오느냐 저 기럭아 우느냐
저 종달새 가옥 가옥 우는 가마귀야
무엇이 설워서 우는거나
네가 자식 잃은
내 맘을 알고 울어주는가
부우 부우 저 부두새야
뻑뻑꾹 뻑꾹새야
저무슨 새가 이리도 울음을 우느냐
저 무슨 새가 울음을 울어
귀촉도 귀촉도 꾀꼬리 수리루리루
처연한 울음 소리가
귓가를 메우니
단장의 썩은 눈물로
그리운 얼굴들 그려볼까
부모잃고 자식잃고 무엇을 얻자고
우리가 이리도 억척같이 사는거나
우지마라 우지마라 각 새들아
너무나 우지를 말어라","['하늘', '가마', '귀가', '가옥', '가옥', '날아들', '사방', '연기', '시체', '는지', '화약', '는지', '한바탕', '전쟁', '일어나', '폐허', '바람', '소리', '울음', '새소리', '서럽', '구나', '빼앗긴', 'ㄴ다', '는가', '겨우내', '세상', '녹아들', '묻히', '수백', '군사', '못다', '흘리', '울음', '시뻘겋', '나오', '시원히', '흐르', '계곡', '마른', '나뭇가지', '즐비', '기나길', '전쟁', '지긋지긋', '는가', '사람', '욕심', '는가', '초목', '수놓', '오가', '없이', '뵈이', '처연', '울음', '소리', '허공', '흩날리', '느냐', '기럭', '느냐', '종달새', '가옥', '가옥', '가마귀', '설워', '자식', '는가', '부우', '부우', '부두', '뻑뻑', '뻑꾹새', '이리', '울음', '느냐', '울음', '귀촉도', '귀촉도', '꾀꼬리', '수리', '처연', '울음', '소리', '귓가', '메우', '단장', '눈물', '그립', '얼굴', '그리', 'ㄹ까', '부모', '자식', '자고', '이리', '억척', '우지', '마라', '우지', '마라', '너무나', '우지']"
292,아직도 세상은,김연정,아직도 세상은,"난 이 집에서 열 다섯살때 부터
일 해 왔습니다 그리고
제 아버지 역시 이 집안의 지배인이셨고
아버지는 개처럼 시키는 대로 일했죠
인간다운 대접 한번 받지 못하고
돌아 가셨고
아버지 장례식엔
이 집안의 어느 누구도 오지 않았죠
나는 이를 악물고 기다렸죠 내 손으로 꼭
이 집안을 몰살 시켜 복수하고 말겠다고
기회는 늘 있었죠 내가 스물 살이 됐을 때
장미 아가씨는 이제 막 열 한살이였죠
기회를 틈타 그녀부터
죽이기로 마음 먹고
그녀의 방으로 갔죠
그때 그녀는 너무나 슬프게 울고 있었죠
마음을 독하게 먹고 그녀를 등 뒤에서
찌르려는데 사진이 하나 보였죠
제 아버지가 그녀를 꼭 안고 찍은
사진이였고
그 사진을 보고는 칼을 내려 놓았죠
때 마침 집 안을 체크하던
당시 지배인님에게
제 음모가 발각되어
그에게 용서를 빌었죠
그리고 며칠 후 그는 죽었습니다
제가 죽였죠
어제 장미아가씨가
3년만에 집으로 돌아왔습니다
오늘 아침에 보니
예전 그 사진을 버렸더군요
드디어 죽여도 된다는 승낙을
아버님이 하신 겁니다
하지만 이 년들이 가진 돈이 아깝잖아요
난 이들 모두를 죽이고
돈을 가져 갈 겁니다","['아버지', '역시', '집안', '지배인', '이시', '아버지', '처럼', '시키', '대로', '일하', '인간', '대접', '한번', '못하', '가시', '아버지', '장례식', '집안', '구도', '악물', '기다리', '집안', '몰살', '시키', '복수', '다고', '기회', '스물', '장미', '아가씨', '이제', '한살이', '기회', '그녀', '죽이', '기로', '마음', '그녀', '그녀', '너무나', '슬프', '마음', '독하', '그녀', '찌르', '려는', '사진', '보이', '아버지', '그녀', '사진', '사진', '고는', '내리', '마침', '체크', '당시', '지배인', '음모', '발각', '용서', '며칠', '죽이', '어제', '장미', '아가씨', '돌아오', '오늘', '아침', '예전', '사진', '버리', '더군요', '드디어', '죽이', '어도', 'ㄴ다는', '승낙', '아버님', 'ㅂ니다', '가지', '아깝', '잖아요', '죽이', '가지', 'ㅂ니다']"
293,"씨앗곰 (A Planting Bear) (Feat. 진희, 경준)",어른동화 (Grownup Fairy Tale),씨앗곰 (A Bear with a Seed),"[바다, 바다거북할미, 아기바다거북]
하늘과 바다가 마음을 맞댄 수평선
넓디넓은 동쪽 바다

[미키]
수많은 철새들 바다를 건널 적에 지친 날개를 쉬어가라고

[신이]
징검다리처럼 솟은 아름다운 섬
사람들은 무엇이든 내꺼라 우기지만

[멸치스웨그]
누구도 바다를 가질 수는 없기에
바다를 지키고 가꾸어야만 하네

동해 : 나 강치 대장 태양의 아들 동해, 약속할게. 바다에 대한, 생명에 대한 아버지의 말씀, 바다와 아버지의 약속의 노래. 부르고 또 부르면서 지킬 거야. 여기, 너희들과 함께.

[모두]
바다는 영원히 바다의 것
우리는 잠시 빌려 쓸 수 있을 뿐
깊이 들어라 동해야 깊이 새겨 오랜 약속
바다는 영원히 바다의 것

바다는 영원히 바다의 것
우리는 잠시 빌려 쓸 수 있을 뿐
깊이 들어라 동해야 깊이 새겨 오랜 약속
바다는 영원히 바다의 것
바다는 영원히 바다의 것","['바다', '바다', '거북', '할미', '아기', '바다', '거북', '하늘', '바다', '마음', '맞대', '수평선', '넓디넓', '동쪽', '바다', '수많', '철새', '바다', '건너', '지치', '날개', '가라', '신이', '징검다리', '처럼', '아름답', '사람', '우기', '멸치', '스웨', '구도', '바다', '가지', '기에', '바다', '지키', '가꾸', '어야', '동하', '강치', '대장', '태양', '아들', '동해', '약속', 'ㄹ게', '바다', '대하', '생명', '대하', '아버지', '말씀', '바다', '아버지', '약속', '노래', '부르', '부르', '면서', '지키', '바다', '영원히', '바다', '빌리', '깊이', '어라', '동하', '어야', '깊이', '새기', '오랜', '약속', '바다', '영원히', '바다', '바다', '영원히', '바다', '빌리', '깊이', '어라', '동하', '어야', '깊이', '새기', '오랜', '약속', '바다', '영원히', '바다', '바다', '영원히', '바다']"
294,쇼팔로비치 유랑극단 Epilogue,이영재,쇼팔로비치 유랑극단 OST,"그러려고 그랬던 건 아닌데
아이스크림 때문에 삐진 건 아닌데
그냥 심심해 지루했어
여기 아닌 어딘가가 궁금했어
그러려고 그랬던 건 아닌데
그냥 마을이나
한 바퀴 돌아보려던 건데
하필 내 앞에 버스가 딱
자주 오지 않는 버스가 내 앞에 치익
안녕 연이구나 어디로 갈래
음 멀리요
멀리라 마을버스가 마을만
빙글빙글 도는 것 같지만 말야
이 마을이라는 게
생각보다 넓고 커요
그러니까 마을버스를 타고도
충분히 멀리 갈 수 있다 이 말씀
선사마을 사시는
연이 승객님 착석하셨으니
강동02번 마을버스 멀리로 출발
어디로 갈래
버스를 타고 달려라 달려 후
버스를 타고 어디로 갈래
버스를 타고 멀리멀리
마을버스를 타고","['그러', '려고', '그리하', 'ㄴ데', '아이스크림', '때문', '삐지', 'ㄴ데', '그냥', '심심', '지루', '가가', '궁금하', '그러', '려고', '그리하', 'ㄴ데', '그냥', '마을', '이나', '바퀴', '돌아보', 'ㄴ데', '하필', '버스', '자주', '버스', '치익', '안녕', '구나', '갈래', '멀리', '멀리', '마을', '버스', '마을', '빙글빙글', '마을', '라는', '생각', '보다', '어요', '그러', '니까', '마을', '버스', '충분히', '멀리', '말씀', '선사', '마을', '승객', '착석', '으니', '강동', '02', '마을', '버스', '멀리', '출발', '갈래', '버스', '달리', '달리', '버스', '갈래', '버스', '멀리멀리', '마을', '버스']"
295,"쌀 꽃, 이팝나무 (feat. 정도원,윤혜영)",가세연,뮤지컬 박정희 O.S.T.,"저는 열살 때 고아원에서
도망 나와 성냥공장에서 일했죠
그런데 어떤 사람이 내게 오더니
공장 작업실에 불을 지르라 했죠
불 지르는데 성공하면 많은 돈을 줄게
전 알고 있었죠 불을 지르면 사람들이
타죽을거라는 것을
하지만 그 돈에 욕심이 났고
결국 공장에 불을 질렀고
사람들 전부 죽고 나만 살아 남았지만
돈은 한 푼도 못 받았죠
그 후 이곳 저곳을 떠돌며
잡일을 하며 다니다 열일곱살에
섬유공장에서 일 하게 됐죠
정말 열심히 일했죠
그런데 사장이 이 핑계
저 핑계로 월급을 안줬고
전 사장에게 따지러 갔다가 오히려
골프채로 다리를 맞아
이렇게 병신이 됐죠
그때 제 옆에 일하던
최씨아저씨가 저를 막아주고는
칼로 사장을 찔렀죠
바로 제 눈 앞에서 말이죠
그런데 그때 제가 어떻게
했는 줄 아십니까
최씨 아저씨를 경찰에 신고해 버렸고
사장은 내게 돈을 주었죠
스무살이 넘어서는 노동자들과 함께
숙식을 해결하고 심부름을 했습니다
사람들은 모두 내게 잘해주었죠
누가 내게 오더니 그들이 어디에서
무엇을 하고 있는지 이것 저것
여러가지를 캐물었습니다 그리고
나라에서 돈을 주더군요
그것도 아주 많이
그 돈으로 저는 장미와 사귈 수 있었죠
장미는 부잣집 딸인데
가출을 해서 갈 곳이 없었죠
그녀와 결혼하여 제 인생을 이제부터
멋지게 시작해 볼 생각이었죠
그런데 저 할망구가
걸림돌이 되었습니다","['고아원', '도망', '나오', '성냥', '공장', '일하', '사람', '더니', '공장', '작업실', '지르', '지르', '는데', '성공', 'ㄹ게', '지르', '사람', '라는', '욕심', '공장', '지르', '사람', '저곳', '떠돌', '잡일', '다니', '섬유', '공장', '정말', '열심히', '일하', '사장', '핑계', '핑계', '월급', '사장', '따지', '다가', '골프채', '다리', '이렇', '병신', '일하', '아저씨', '막아주', '고는', '사장', '찌르', '제가', '어떻', 'ㅂ니까', '아저씨', '경찰', '신고', '버리', '사장', '스무', '살이', '넘어서', '노동자', '숙식', '해결', '심부름', '사람', '잘하', '더니', '는지', '여러', '가지', '캐묻', '나라', '더군요', '그것', '아주', '많이', '장미', '사귀', '장미', '부잣집', 'ㄴ데', '가출', '어서', '그녀', '결혼', '인생', '이제', '멋지', '시작하', '생각', '할망구', '걸림돌']"
296,갱,김찬종,웹 뮤지컬 '갱(Gang)' OST,"아침은 터너의 그림처럼 시작해
노란빛이 내방을 채우고 나면
세상은 따뜻하게 맑은 빛으로
물들어 가네
파스텔 톤의 드가의
그림 속으로 들어가
나는 무대 위의 발레리나 되어
달라진 세상을 맞이하게 돼
삶도 그림처럼 그릴 수 있다면
원하는 색채와 질감으로
그릴 수 있다면
바쁜 하루가 끝나갈 땐
고흐의 그림처럼 하늘은
푸른빛으로 칠하고
별빛을 그려 넣어
까페 테라스에 앉아
하루를 그리다 보면
나를 보며 웃는 그를 만나게 돼
그림 같은 이야기들
삶도 그림처럼 그릴 수 있다면
원하는 색채와 질감으로
그릴 수 있다면
삶도 그림처럼 그릴 수 있다면
나는 어떤 그림을 그리게 될까","['아침', '터너', '그림', '처럼', '시작하', '노란빛', '내방', '채우', '세상', '따뜻', '물들', '파스텔', '가의', '그림', '들어가', '무대', '위의', '발레리나', '달라지', '세상', '맞이하', '그림', '처럼', '그리', '다면', '원하', '색채', '질감', '그리', '다면', '바쁘', '하루', '끝나가', '그림', '처럼', '하늘', '푸른빛', '칠하', '별빛', '그리', '까페', '테라스', '하루', '그리', '만나', '그림', '이야기', '그림', '처럼', '그리', '다면', '원하', '색채', '질감', '그리', '다면', '그림', '처럼', '그리', '다면', '그림', '그리', 'ㄹ까']"
297,젠가,간미연,뮤지컬 미녀와 야수 OST,"내 고향 산천을 떠나가는 날
하늘엔 아무 별 하나 빛 나지 않아
한평생 살아온 내 고향
이제 떠나 가네
멀리 멀리
그리운 마음을 이 곳에 두고
나는 어이해 먼 길 떠나나
한평생 살아온 내 고향
이제 떠나 가네
멀리 멀리
어미 무덤을 또 아비 무덤을
남겨두고 떠나는 마음
나고 자란 이 땅 삶의 터전을
버리고 떠나는 마음
어미 무덤을 또 아비 무덤을
남겨두고 떠나는 마음
나고 자란 이 땅 삶의 터전을
버리고 떠나는 마음
가자 가자 아이야
한 번 본 적 없는 낯 선 땅으로
가자 가자 아이야
내 고향 산천을 떠나","['고향', '산천', '떠나가', '하늘', '아무', '한평생', '살아오', '고향', '이제', '멀리', '멀리', '그립', '마음', '떠나', '한평생', '살아오', '고향', '이제', '멀리', '멀리', '어미', '무덤', '아비', '무덤', '남기', '떠나', '마음', '자라', '터전', '버리', '떠나', '마음', '어미', '무덤', '아비', '무덤', '남기', '떠나', '마음', '자라', '터전', '버리', '떠나', '마음', '고향', '산천', '떠나']"
298,운명,양희준,"뮤지컬 [스웨그 에이지 : 외쳐, 조선!] OST","모든 사람은 풀과 같고
그들의 모든 아름다움은
들의 꽃과 같다
여호와께서 그 위에 숨을 내쉬면
풀은 마르고 꽃은 시든다
정말로 이 백성은
풀에 지나지 않는다
풀은 마르고 꽃은 시들지만
우리 하나님의 말씀은
언제나 이루어진다
주님 내 삶의 끝을 향해
시계바늘이 달리고 있습니다
목을 치는 칼날이 시침되어
죽음을 알리는 자명종이
피를 뿌리며 울려 퍼질겁니다
내 모든 시간 당신께 충성했고
삶 속에 시와 분은 당신의 것이죠
내가 살아있는 것은 당신의 시간
내가 죽는 것 또한 당신의 시간
그러나 주님 왜
이렇게 비참한 모습으로
내 목을 가져가야 하나요
폭군의 농락 앞에 사라질 삶이라면
광야의 뜨거운 태양 왜 주셨나요
왜 나를 죽여야만 하나요
왜 나를 죽여야만 하나요
왜 나를 죽여야만 하나요
왜 나를 죽여야만 하나요
왜 나를 죽여야만 하나요
왜 나를 죽여야만 하나요
그들의 시간 속에
내가 죽어가는 오분은
술에 취해 저지르는 실수와 같은 밤
주님의 시간 속에
내가 죽어가는 오분은
태초부터 메시야를 위한 약속의 시간
모든 꽃들이 그 분을 위해 피어나고
밤의 별과 낮의 해가
그분을 위해 빛나네
내가 숨쉬고 죽는 모든 순간
그 분을 위해 살고 죽네
내가 죽어야만 하네
내가 죽어야만 하네
사명을 위해서
내가 죽어야먄 하네
내가 죽어야만 하네
나를 만드신 그분의 뜻대로
무엇이든 되리라
주님 내 삶의 끝을 향해
다가오는 발자국 차디찬 칼날소리
주님 내곁에 계시나요
목을 치는 칼날보다 가까이
내곁에 와 주소서
난 주님과 가까이 난 주님과 가까이
살고 싶었죠
이제 나는 주님과 가까이
나는 주님과 가까이
살고 싶어요
내 영혼 받으소서","['모든', '사람', '모든', '아름다움', '여호와', '께서', '내쉬', '마르', '시들', 'ㄴ다', '정말로', '백성', '지나', '마르', '시들', '하나님', '말씀', '언제나', '이루어지', 'ㄴ다', '향하', '시계', '바늘', '달리', '칼날', '시침', '죽음', '알리', '자명종', '뿌리', '퍼지', 'ㅂ니다', '모든', '충성', '내가', '이렇게', '비참', '모습', '가져가', '폭군', '농락', '사라지', '라면', '광야', '뜨겁', '태양', '나요', '죽이', '어야', '죽이', '어야', '죽이', '어야', '죽이', '어야', '죽이', '어야', '죽이', '어야', '취하', '저지르', '실수', '태초', '메시야', '위하', '약속', '모든', '위하', '피어나', '별과', '그분', '위하', '빛나', '숨쉬', '모든', '순간', '위하', '어야', '어야', '사명', '위하', '어서', '어야', '어야', '만들', '그분', '뜻대로', '리라', '향하', '다가오', '발자국', '차디차', '칼날', '소리', '계시', '나요', '칼날', '보다', '가까이', '주소', '가까이', '가까이', '이제', '가까이', '가까이', '어요', '영혼', '으소서']"
300,뭐가 보이니,서인권,나무의 아이 OST,"빛이 되신 주님
나의 기도를 들어주시고
어둠과 고통 속에서 건져 주셨네
빛이 되신 주님
나의 간구에 응답하시고
환난과 두려움에서 구원하셨도다
그의 눈은 나를 향하시고
그의 귀는 내 부르짖음 들으셨도다
내 모든 뼈 보호하심
하나도 꺾이지 아니하네
선하고 성실하심 저 하늘에 영원해
이제 내가 무엇을 바라리
어떤 시련 와도 나를 구원하신
거룩하신 이름을
경외하며 영원히 찬양하리라
찬양하리라","['나의', '기도', '들어주', '어둠', '고통', '건지', '나의', '간구', '응답', '환난', '두려움', '구원', '도다', '향하', '부르짖', '으시', '도다', '모든', '보호', '하심', '꺾이', '아니하', '성실', '하심', '하늘', '영원', '이제', '내가', '바라', '시련', '아도', '나르', '구원', '거룩', '이름', '경외', '영원히', '찬양', '하리', '찬양', '리라']"
301,BEEP:비프,UNO,BEEP:비프 OST(너에게 보내는 신호),"여러개의 금팔찌
에메랄드가 박힌 금 귀걸이
다이아몬드 귀걸이와
루비박힌 귀걸이
두개의 보석함과
호화로운 보석반지와
왕비나 했을법한 머리핀 한개
은으로 만든
와이셔츠 버튼과 넥타이핀
백금테를 두를 주머니 시계
금 훈장 두개 은 훈장 한개
양철 훈장 세개","['여러', '팔찌', '에메랄드', '박히', '귀걸이', '다이', '아몬드', '귀걸이', '루비', '박히', '귀걸이', '두개', '보석함', '호화', '보석', '반지', '왕비', '머리핀', '만들', '와이셔츠', '버튼', '넥타이', '백금', '두르', '주머니', '시계', '훈장', '두개', '훈장', '양철', '훈장']"
303,Live in the Moment,MW Actors,Live in the Moment (리브인더 모멘트) OST,"비바람 몰아쳐도 당당히 이겨내
나야 나 행복 종결자
어둔 밤 지날 때도 그렇게 생각해
해 뜨고 있다 아침이 온다
I Can Fly I Can Fly
I Can Fly I Can Fly
힘을 내봐 될 꺼야
나는 가치 있는 사람이란 걸 알아
기대하게 될 꺼야
당당히 날아봐
내가 누구보다 잘해낼 것을 알아
용기를 내 I Can Fly
비바람 몰아쳐도 당당히 이겨내
나야 나 행복 종결자
어둔 밤 지날 때도 그렇게 생각해
해 뜨고 있다 아침이 온다
I Can Fly I Can Fly
I Can Fly I Can Fly
힘을 내봐 될 꺼야
나는 가치 있는 사람이란 걸 알아
기대하게 될 꺼야
당당히 날아봐
내가 누구보다 잘해낼 것을 알아
용기를 내
힘을 내봐 될 꺼야
나는 가치 있는 사람이란 걸 알아
기대하게 될 꺼야
당당히 날아봐
내가 누구보다 잘해낼 것을 알아
용기를 내 용기를 내 용기를 내
I Can Fly I Can Fly","['비바람', '몰아치', '어도', '당당히', '이기', '행복', '결자', '어두', '지나', '그렇', '생각', '아침', 'ㄴ다', 'Can', 'Fly', 'Can', 'Fly', 'Can', 'Fly', 'Can', 'Fly', '내보', '어야', '가치', '사람', '기대', '어야', '당당히', '날으', '보다', '해내', '용기', 'Can', 'Fly', '비바람', '몰아치', '어도', '당당히', '이기', '행복', '결자', '어두', '지나', '그렇', '생각', '아침', 'ㄴ다', 'Can', 'Fly', 'Can', 'Fly', 'Can', 'Fly', 'Can', 'Fly', '내보', '어야', '가치', '사람', '기대', '어야', '당당히', '날으', '보다', '해내', '용기', '내보', '어야', '가치', '사람', '기대', '어야', '당당히', '날으', '보다', '해내', '용기', '용기', '용기', 'Can', 'Fly', 'Can', 'Fly']"
304,만일내게 (If I) Solo,박초련,세계명작 베니스의 상인 OST 모음집,"인생 백년 꿈과 같다
삶의 바람들 사이에
일렁이던 시간들이여
수많은 시간의 조각들 조차
부질없이 흩어지는
이 죽음의 미소야
인생백년 꿈과 같다
시간의 무덤들아
가엾은 나의 찬란한 젊음아
위대한 혁명 영광의 기억들아
삶이란 것이 아직 맛보지 못한
과자 한 조각을 닮았다니","['인생', '바람', '사이', '일렁이', '수많', '조각', '부질없이', '흩어지', '죽음', '미소', '인생', '무덤', '가엾', '나의', '찬란', '젊음', '위대', '혁명', '영광', '기억', '아직', '맛보', '못하', '과자', '조각', '다니']"
305,Wow (Feat.Sikboy),더 스테이지,더 스테이지 : K-POP 아이돌 도전기,"노래를 좋아하는 나는 모비치
네가 좋아하는 노래
내가 부를게
나의 목소리가 들려오니
우리 다 함께 소리쳐봐
나는 행복을 노래하는 모비치
네가 좋아하는 노래
내가 부를게
슬픈 사람도 웃을 수 있게
모두 행복해 질 수 있게
태양을 찾아가는 위대한 꿈을
언제나 함께한 나의 노래가
햇살 가득 담아
하늘을 보며
불러왔던 나의 이야기
노래를 좋아하는 나는 모비치
네가 좋아하는 노래
내가 부를게
태양을 찾아가는 위대한 꿈을
언제나 함께한 나의 노래가
햇살 가득 담아
하늘을 보며
불러왔던 나의 이야기
노래를 좋아하는 나는 모비치
네가 좋아하는 노래
내가 부를게
나의 목소리가 들려오니
우리 다 함께 소리쳐봐
나는 행복을 노래하는 모비치
네가 좋아하는 노래
내가 부를게
슬픈 사람도 웃을 수 있게
모두 행복해 질 수 있게
태양을 찾아가는 위대한 꿈을
언제나 함께한 나의 노래가
햇살 가득 담아
하늘을 보며
불러왔던 나의 이야기
노래를 좋아하는 나는 모비치
노래를 좋아하는 나는 모비치
노래를 좋아하는 나는 모비치 예","['노래', '좋아하', '비치', '좋아하', '노래', '내가', '부르', '목소리', '들려오', '소리치', '행복', '노래', '비치', '좋아하', '노래', '내가', '부르', '슬프', '사람', '행복', '태양', '찾아가', '위대', '언제나', '나의', '노래', '햇살', '가득', '하늘', '부르', '나의', '이야기', '노래', '좋아하', '비치', '좋아하', '노래', '내가', '부르', '태양', '찾아가', '위대', '언제나', '나의', '노래', '햇살', '가득', '하늘', '부르', '나의', '이야기', '노래', '좋아하', '비치', '좋아하', '노래', '내가', '부르', '목소리', '들려오', '소리치', '행복', '노래', '비치', '좋아하', '노래', '내가', '부르', '슬프', '사람', '행복', '태양', '찾아가', '위대', '언제나', '나의', '노래', '햇살', '가득', '하늘', '부르', '나의', '이야기', '노래', '좋아하', '비치', '노래', '좋아하', '비치', '노래', '좋아하', '비치']"
306,주연은 아니고 조연이 부르는 노래 (feat. 수염맨),박성유,주연은 아니고 조연이 부르는 노래,"가끔 네 생각을 해
가끔 그땔 추억해
칠흑 같던 어둠 속
한줄기 빛이 되어준 너
난 늘 미안해했지
넌 늘 괜찮다 했지
아무것도 줄 수 없던 나의
꿈을 지켜내준 너야
이제야 알겠어
빛바랜 시간 속의
함께한 지난 기억
그때의 우리가
그 어느 때보다
찬란했음을
항상 네 생각을 해
항상 너를 추억해
함께할 수 없게 된
지금이 내겐 소용없는데
넌 늘 미안해했지
난 늘 고마워했지
꿈꿔왔던 무대지만 네겐
닿지 못할 노랠 부른다
이제야 알겠어
빛바랜 시간 속의
함께한 지난 기억
그때의 우리가
그 어느 때보다
찬란했음을
고마워 고마웠었어
언제나 함께 빛나던 우리","['가끔', '생각', '가끔', '추억', '칠흑', '어둠', '한줄기', '미안', '해하', '괜찮', '아무것', '나의', '지키', '내주', '이제야', '빛바래', '속의', '지나', '기억', '보다', '찬란', '항상', '생각', '항상', '너르', '추억', '지금', '소용없', '는데', '미안', '해하', '고마워하', '꿈꾸', '대지', '못하', '노래', '부르', 'ㄴ다', '이제야', '빛바래', '속의', '지나', '기억', '보다', '찬란', '고맙', '고맙', '언제나', '빛나']"
307,구미호가 되는 법,구미호,구미호가 되는 법,"친구가 생겼어
우리에게도 친구가 생겼어
갈색 털 옷을 입고 있는
조금 느리지만 마음씨착한 그런 친구
친구가 생겼어 내게도 친구가 생겼어
우리 동네를 같이 뛰어 놀며
마음을 나눌 수 있는 그런 친구
아주 오래전부터
친하게 지내 온 친구 같은 느낌
아주 오래 전부터
모든 걸 알고 있는 것 같은 느낌
친구들과 함께라면 무서울 게 없네
친구들과 함께라면 뭐든지 할 수 있네
활짝 핀 꽃나무 아래를
걸을 수 있는 친구
비 오는 날 우산을 함께 쓰고
뛸 수 있는 친구
친구와 함께라면
비 오는 날이 기다려 지내
천둥이 내리 쳐도
우린 함께이기에 이겨낼 수 있어
커다란 갈색 곰 과 우린 친구가 되었다네","['친구', '생기', '친구', '생기', '갈색', '느리', '마음씨', '착하', '그런', '친구', '친구', '생기', '친구', '생기', '동네', '마음', '나누', '그런', '친구', '아주', '오래전', '친하', '지내', '친구', '느낌', '아주', '오래', '모든', '느낌', '친구', '라면', '무섭', '친구', '라면', '든지', '활짝', '꽃나무', '아래', '친구', '우산', '친구', '친구', '라면', '기다리', '지내', '천둥', '내리', '어도', '이기', '이기', '커다랗', '갈색', '친구', '다네']"
